代码,名称,信号日期,选股逻辑,初始价,当前价,累计涨跌%,3天胜,7天胜,至今胜
603151,邦基科技,2025-12-16,超跌,17.95,18.45,2.79,0,1,1
000661,长春高新,2025-12-16,超跌+筑底+放量,95.53,94.57,-1.0,0,0,0
002869,金溢科技,2025-12-16,筑底+放量,23.29,24.15,3.69,0,1,1
601127,赛力斯,2025-12-16,放量,123.31,119.11,-3.41,0,0,0
600967,内蒙一机,2025-12-16,超跌+筑底,15.78,16.34,3.55,1,1,1
002456,欧菲光,2025-12-16,超跌+筑底,10.55,10.65,0.95,0,1,1
601865,福莱特,2025-12-16,超跌+筑底,15.17,16.05,5.8,1,1,1
600760,中航沈飞,2025-12-16,超跌+筑底,53.9,57.25,6.22,1,1,1
600094,大名城,2025-12-16,筑底+放量,4.1,4.33,5.61,0,1,1
002568,百润股份,2025-12-16,筑底,21.79,21.6,-0.87,0,0,0
600316,洪都航空,2025-12-16,超跌+筑底,30.2,32.33,7.05,1,1,1
605378,野马电池,2025-12-16,超跌+放量,22.41,22.93,2.32,0,1,1
605377,华旺科技,2025-12-16,超跌+筑底,7.83,8.7,11.11,0,1,1
002180,纳思达,2025-12-16,常规,18.75,19.39,3.41,1,1,1
002640,跨境通,2025-12-16,超跌,4.37,4.76,8.92,0,0,1
002179,中航光电,2025-12-16,常规,32.89,34.89,6.08,1,1,1
002951,金时科技,2025-12-16,超跌+筑底+放量,13.0,16.07,23.62,1,1,1
002410,广联达,2025-12-16,超跌+筑底,12.25,12.47,1.8,0,0,1
600548,深高速,2025-12-16,超跌+筑底,8.96,8.92,-0.45,0,0,0
002427,尤夫股份,2025-12-16,筑底,6.1,6.76,10.82,1,1,1
002694,顾地科技,2025-12-16,超跌+筑底,3.92,3.84,-2.04,0,0,0
603609,禾丰股份,2025-12-16,超跌+筑底,7.03,7.08,0.71,1,1,1
000628,高新发展,2025-12-16,常规,43.75,44.74,2.26,0,1,1
002857,三晖电气,2025-12-16,常规,20.09,20.8,3.53,1,1,1
600779,水井坊,2025-12-16,筑底,37.76,39.8,5.4,0,0,1
002959,小熊电器,2025-12-16,超跌+筑底+放量,42.68,42.78,0.23,1,1,1
002674,兴业科技,2025-12-16,常规,12.92,13.87,7.35,1,1,1
002541,鸿路钢构,2025-12-16,常规,16.18,16.09,-0.56,1,1,0
002867,周大生,2025-12-16,超跌+筑底,11.95,12.21,2.18,1,1,1
603767,中马传动,2025-12-16,放量,23.63,23.85,0.93,0,0,1
603818,曲美家居,2025-12-16,超跌+筑底,3.61,3.65,1.11,1,1,1
002826,易明医药,2025-12-16,超跌+筑底,17.65,18.05,2.27,1,1,1
600655,豫园股份,2025-12-16,超跌+筑底,5.14,5.3,3.11,1,1,1
601069,西部黄金,2025-12-16,常规,26.1,26.79,2.64,1,1,1
002646,天佑德酒,2025-12-16,超跌+筑底,8.84,8.87,0.34,1,1,1
601718,际华集团,2025-12-16,超跌+筑底,3.33,3.4,2.1,0,1,1
603566,普莱柯,2025-12-16,超跌+筑底,12.67,12.69,0.16,1,1,1
