代码,名称,信号日期,策略类型,信号价,当前总涨跌,平均表现,首次盈利天数,首次亏损天数,持仓天数,走势流,风险预警
002355,兴民智通,20251222,E_Leader_Restart (二次启动),6.43,-27.22%,-8.94%,1,8,136,+++++++------+++++++++++++++++++++++++++++++++++--------------------++++++++++----------------------------------------------------------,深度套牢 | 冲高回落
603221,爱丽家居,20251222,E_Leader_Restart (二次启动),13.55,66.35%,-7.67%,8,1,147,-------++++----+-++-++----------------------------------------------------------------------------------------------------------------------+++++++,正常
600992,贵绳股份,20260720,E_Leader_Restart (二次启动),11.35,-8.02%,1.16%,1,10,15,+++++++++------,冲高回落
603577,汇金通,20260720,E_Leader_Restart (二次启动),10.16,2.85%,3.28%,1,2,15,+-+++++++-----+,正常
002250,联化科技,20260720,D_Strong_Breakout (高风险追涨/优化),16.26,7.87%,-1.84%,1,3,15,++---------+-++,正常
600992,贵绳股份,20260802,E_Leader_Restart (二次启动),11.35,-8.02%,-11.51%,从未,1,6,------,长期未回正
603577,汇金通,20260802,E_Leader_Restart (二次启动),10.16,2.85%,-1.48%,6,1,6,-----+,正常
002250,联化科技,20260802,D_Strong_Breakout (高风险追涨/优化),16.26,7.87%,-0.10%,3,1,6,--+-++,正常
600906,财达证券,20260528,B_Low_Position_Start (低风险埋伏),6.74,-1.78%,4.87%,3,1,51,--++-+++--+++++++++++++++++++++++++++++++----------,冲高回落
601958,金钼股份,20260528,E_Leader_Restart (二次启动),24.41,1.07%,-2.65%,11,1,51,----------+++++++++++++++-------------------------+,正常
002250,联化科技,20260808,D_Strong_Breakout (高风险追涨/优化),16.26,7.87%,7.87%,1,从未,1,+,正常
600583,海油工程,20260212,C_New_Strategy (最高共振),7.17,-22.59%,-3.59%,2,1,116,-+++++++++++-------+-----------------+------------------------------------------------------------++++++++++++------,深度套牢 | 冲高回落
600769,祥龙电业,20260212,B_Low_Position_Start (低风险埋伏),12.86,18.43%,23.87%,1,7,116,++++++-+++-+++++++++----++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-+++++++,正常
003018,金富科技,20260212,E_Leader_Restart (二次启动),23.54,62.70%,95.26%,3,1,116,--++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
603058,永吉股份,20260212,E_Leader_Restart (二次启动),13.2,-21.97%,-18.50%,4,1,116,---+----++-+++------------------------------------------------------------------------------------------------------,深度套牢
000710,贝瑞基因,20260106,B_Low_Position_Start (低风险埋伏),12.08,-17.30%,-16.37%,2,1,142,-+++++++++++++++--+++++++++++++---------------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
603108,润达医疗,20260106,B_Low_Position_Start (低风险埋伏),15.82,-30.09%,-18.79%,1,12,136,+++++++++++-+++-+++++++-+---------------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
002019,亿帆医药,20260106,B_Low_Position_Start (低风险埋伏),12.6,-17.86%,-8.76%,1,4,139,+++-+++++++---------------+++++++++++++++++-++-+++++++++---+-------------------------------------------------------------------------------,深度套牢 | 冲高回落
600521,华海药业,20260106,B_Low_Position_Start (低风险埋伏),17.75,2.48%,-10.13%,139,1,139,------------------------------------------------------------------------------------------------------------------------------------------+,正常
600055,万东医疗,20260106,B_Low_Position_Start (低风险埋伏),16.38,-29.73%,-17.10%,1,10,139,+++++++++----------------------------------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
002755,奥赛康,20260106,B_Low_Position_Start (低风险埋伏),17.13,-19.44%,-11.73%,1,10,139,+++++++++---------------------------------+------------------------------+++------+--------------------------------------------------------,深度套牢 | 冲高回落
002177,御银股份,20260106,E_Leader_Restart (二次启动),8.62,-32.71%,-15.51%,1,7,143,++++++-------------------+---++++++++--++++++--------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
603278,大业股份,20260106,E_Leader_Restart (二次启动),16.1,-44.60%,-26.75%,1,5,151,++++------------------------------------------------------------------------------+++------------------------------------------------------------------,深度套牢 | 冲高回落
603331,百达精工,20260106,E_Leader_Restart (二次启动),13.81,-4.06%,1.43%,3,1,143,--+++--++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++------------------------------------------------------,冲高回落
603890,春秋电子,20260605,E_Leader_Restart (二次启动),29.36,-36.85%,-23.52%,12,1,45,-----------+---------------------------------,深度套牢
002125,湘潭电化,20260605,E_Leader_Restart (二次启动),16.2,-22.16%,-13.08%,2,1,41,-++++++++++------------------------------,深度套牢 | 冲高回落
002591,恒大高新,20260507,E_Leader_Restart (二次启动),7.96,-20.73%,-10.37%,1,14,66,+++++++++++++-+-------++------------------------------------------,深度套牢 | 冲高回落
603095,越剑智能,20260507,E_Leader_Restart (二次启动),24.18,-42.64%,-32.57%,1,6,74,+++++---------------------------------------------------------------------,深度套牢 | 冲高回落
000533,顺钠股份,20260209,E_Leader_Restart (二次启动),11.25,12.44%,11.37%,1,2,119,+-+++++++-++++++++++++-+++++++++++++++++++++++++++++++++++++++++++++++++++-----------------------------------++--++++++,正常
600481,双良节能,20260209,E_Leader_Restart (二次启动),10.51,-58.80%,-42.07%,3,1,115,--+----------------------------------------------------------------------------------------------------------------,深度套牢
600694,大商股份,20260113,C_New_Strategy (最高共振),20.05,-27.28%,-18.14%,从未,1,136,----------------------------------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
600784,鲁银投资,20260113,E_Leader_Restart (二次启动),7.73,6.34%,-5.62%,62,1,138,-------------------------------------------------------------+----+----------++++++++++------------------------+-------------------------+,正常
002510,天汽模,20260110,E_Leader_Restart (二次启动),7.79,-26.70%,-13.23%,1,2,136,+-+-++++++----------++++++--++++++-+----------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
002023,海特高新,20260110,E_Leader_Restart (二次启动),14.85,-29.23%,-20.47%,1,2,140,+-------------------------------------------------------------------------------------------------------------------------------------------,深度套牢
600830,香溢融通,20260110,D_Strong_Breakout (高风险追涨/优化),9.88,-17.81%,-9.50%,1,2,140,+-------++----------+-------+----------------------------------------+++++++++++++----------------------------------------------------------,深度套牢 | 冲高回落
603065,宿迁联盛,20260228,C_New_Strategy (最高共振),9.65,83.94%,21.21%,15,1,111,--------------+----------------------------------------------------++++++++++++++++++++++++++++++++++++++++++++,正常
600470,六国化工,20260228,E_Leader_Restart (二次启动),7.94,-27.33%,-18.71%,1,2,111,+---+++++++++--------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
002828,贝肯能源,20260228,E_Leader_Restart (二次启动),13.8,-6.74%,-14.89%,1,7,106,++++++-+++++-------------+--------------------------------------------------------------------------------,冲高回落
000554,泰山石油,20260228,E_Leader_Restart (二次启动),8.83,-25.71%,-15.59%,1,15,111,++++++++++++++-------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
603315,福鞍股份,20260228,E_Leader_Restart (二次启动),17.7,-32.26%,-15.48%,34,1,111,---------------------------------+--++++----+++++++++----------------------------------------------------------,深度套牢 | 冲高回落
601390,中国中铁,20260228,E_Leader_Restart (二次启动),6.19,-26.98%,-20.15%,1,2,111,+--------------------------------------------------------------------------------------------------------------,深度套牢
000968,蓝焰控股,20260228,E_Leader_Restart (二次启动),8.55,-15.44%,-4.34%,1,45,111,++++++++++++++++++++++++++++++++++++++++++++-------+-----------------------------------------------------------,深度套牢 | 冲高回落
600409,三友化工,20260228,E_Leader_Restart (二次启动),8.8,-21.25%,-21.40%,8,1,111,-------++------------------------------------------------------------------------------------------------------,深度套牢
600601,方正科技,20260530,A_Strong_Pullback (中风险接力),13.43,-26.58%,-8.54%,11,1,46,----------+++++--+--++++++-+------------------,深度套牢 | 冲高回落
000791,甘肃能源,20260530,E_Leader_Restart (二次启动),9.84,-19.31%,-15.57%,2,1,50,-++-----------------------------------------------,深度套牢 | 冲高回落
002729,好利科技,20260520,E_Leader_Restart (二次启动),21.07,-34.98%,-22.10%,从未,1,50,--------------------------------------------------,长期未回正 | 深度套牢
603677,奇精机械,20260520,E_Leader_Restart (二次启动),17.17,-19.04%,-16.84%,1,6,57,+++++--+-+-----------------------------------------------,深度套牢 | 冲高回落
002579,中京电子,20251213,A_Strong_Pullback (中风险接力),11.89,-0.76%,15.15%,1,2,154,+----+-++-+++++++++++++++++++++------------+++++--++-+++++++++-++----++++++++++++++++++++-++++++++++++++++++++++++++++++++++++++++++++++++++++--++++------,冲高回落
002235,安妮股份,20251213,E_Leader_Restart (二次启动),12.85,-32.45%,-22.82%,1,2,157,+------------------------------------------------------------------------------------------------------------------------------------------------------------,深度套牢
002725,跃岭股份,20251213,E_Leader_Restart (二次启动),19.08,-41.56%,-22.13%,从未,1,154,----------------------------------------------------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
600601,方正科技,20260601,A_Strong_Pullback (中风险接力),13.43,-26.58%,-8.56%,10,1,45,---------+++++--+--++++++-+------------------,深度套牢 | 冲高回落
000791,甘肃能源,20260601,E_Leader_Restart (二次启动),9.84,-19.31%,-15.84%,1,3,49,++-----------------------------------------------,深度套牢 | 冲高回落
603567,珍宝岛,20260504,B_Low_Position_Start (低风险埋伏),7.08,-5.79%,-13.59%,1,20,64,+++++++++++++++++++---------------------------------------------,冲高回落
000048,京基智农,20260616,E_Leader_Restart (二次启动),18.91,15.65%,8.41%,1,2,38,+-+++++++++++++++++++--++--------+++++,正常
600589,大位科技,20260225,E_Leader_Restart (二次启动),13.19,-37.98%,-21.82%,51,1,113,--------------------------------------------------+----+---------------------------------------------------------,深度套牢
001330,博纳影业,20260225,E_Leader_Restart (二次启动),12.77,-59.28%,-44.17%,从未,1,109,-------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
600992,贵绳股份,20260729,E_Leader_Restart (二次启动),11.35,-8.02%,-5.25%,1,3,8,++------,冲高回落
603577,汇金通,20260729,E_Leader_Restart (二次启动),10.16,2.85%,1.40%,1,3,8,++-----+,正常
002250,联化科技,20260729,D_Strong_Breakout (高风险追涨/优化),16.26,7.87%,-1.57%,5,1,8,----+-++,正常
603567,珍宝岛,20260502,B_Low_Position_Start (低风险埋伏),7.08,-5.79%,-13.59%,1,20,64,+++++++++++++++++++---------------------------------------------,冲高回落
600667,太极实业,20260120,C_New_Strategy (最高共振),9.3,84.41%,51.11%,1,12,128,+++++++++++-++++++++++++++++++++++++++++++-----+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
002196,方正电机,20260120,E_Leader_Restart (二次启动),16.53,-37.57%,-16.41%,1,7,141,++++++-++++-++++++++++----------------------------------------------------+--++--------------------------------------------------------------,深度套牢 | 冲高回落
002114,罗平锌电,20260120,E_Leader_Restart (二次启动),9.73,-21.27%,-13.38%,1,9,133,++++++++-----------+++++++++++----------------------------------------+--------------------------------------------------------------,深度套牢 | 冲高回落
603023,威帝股份,20260120,E_Leader_Restart (二次启动),5.92,-32.60%,-23.60%,1,6,133,+++++--------------------------------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
600841,动力新科,20260120,E_Leader_Restart (二次启动),6.86,-14.72%,16.09%,1,37,133,++++++++++++++++++++++++++++++++++++-+++++++++++++++++++++++++++++++++++++++++++++++++++++---+---------------------------------------,深度套牢 | 冲高回落
002845,同兴达,20260120,D_Strong_Breakout (高风险追涨/优化),15.41,-19.40%,-4.78%,3,1,128,--+----------------++---++++++++-----------------------------------------++++++++-+--++-+----++++++++-++++---++++---------------,深度套牢 | 冲高回落
600955,维远股份,20260120,D_Strong_Breakout (高风险追涨/优化),18.72,-31.25%,-12.67%,1,33,133,++++++++++++++++++++++++++++++++----------+------------+---+++++++--+----------------------------------------------------------------,深度套牢 | 冲高回落
600073,光明肉业,20260120,D_Strong_Breakout (高风险追涨/优化),6.75,-22.37%,-15.47%,从未,1,133,-------------------------------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
603567,珍宝岛,20260506,B_Low_Position_Start (低风险埋伏),7.08,-5.79%,-13.83%,1,19,63,++++++++++++++++++---------------------------------------------,冲高回落
000586,汇源通信,20260415,E_Leader_Restart (二次启动),23.19,-51.06%,-33.75%,从未,1,75,---------------------------------------------------------------------------,长期未回正 | 深度套牢
000026,飞亚达,20260415,E_Leader_Restart (二次启动),16.2,17.72%,19.52%,1,36,79,+++++++++++++++++++++++++++++++++++--++++++++++++++++++++++++++-+---+---+-+++++,正常
603110,东方材料,20260318,A_Strong_Pullback (中风险接力),17.66,50.06%,18.10%,22,1,98,---------------------+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
000617,中油资本,20260318,E_Leader_Restart (二次启动),9.89,-27.60%,-16.61%,1,18,98,+++++++++-+++++++---------------------------------------------------------------------------------,深度套牢 | 冲高回落
002054,德美化工,20260116,E_Leader_Restart (二次启动),8.52,-13.62%,-2.83%,4,1,135,---+++++++++++++++++++++++++++++++++++---+-++++---+++++-+---------+++++++++------------------------------------------------------------,深度套牢 | 冲高回落
000409,云鼎科技,20260116,E_Leader_Restart (二次启动),12.61,-29.82%,-21.70%,从未,1,135,---------------------------------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
600839,四川长虹,20260116,E_Leader_Restart (二次启动),10.7,-35.14%,-21.71%,3,1,135,--+++----------------------------------------------------------------------------------------------------------------------------------,深度套牢
603703,盛洋科技,20251221,E_Leader_Restart (二次启动),14.75,-34.51%,-13.64%,10,1,161,---------++++++++++++++++++--++--+-----++++----------------------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
603123,翠微股份,20251221,E_Leader_Restart (二次启动),13.98,-29.47%,-20.86%,30,1,136,-----------------------------+----------------------------------------------------------------------------------------------------------,深度套牢
002355,兴民智通,20251221,E_Leader_Restart (二次启动),6.43,-27.22%,-8.94%,1,8,136,+++++++------+++++++++++++++++++++++++++++++++++--------------------++++++++++----------------------------------------------------------,深度套牢 | 冲高回落
603221,爱丽家居,20251221,E_Leader_Restart (二次启动),13.55,66.35%,-7.62%,9,1,148,--------++++----+-++-++----------------------------------------------------------------------------------------------------------------------+++++++,正常
000862,银星能源,20260307,E_Leader_Restart (二次启动),7.31,-22.98%,-13.02%,1,7,102,++++++-++++++++----------------------------+------------+-+-------------------------------------------,深度套牢 | 冲高回落
601098,中南传媒,20260102,B_Low_Position_Start (低风险埋伏),11.26,-6.84%,-3.46%,1,10,139,++++-+-++-----------+---------------------+---------------------------+++++++++-++---------------------------------------------------------,冲高回落
002361,神剑股份,20260102,E_Leader_Restart (二次启动),14.34,-28.52%,1.39%,2,1,153,-+++++++++--------------+++----+----------------------++++++++++++++++++++++++++++++++++++++++++++++++++++++++----++++-----------------------------------,深度套牢 | 冲高回落
603332,苏州龙杰,20260102,E_Leader_Restart (二次启动),13.88,-18.08%,-8.83%,11,1,144,----------++++++-------+++++-++++--------+-++++--------------------++++++++++++++++++++---------------------------------------------------------,深度套牢 | 冲高回落
002800,天顺股份,20260308,E_Leader_Restart (二次启动),24.35,-44.11%,-32.87%,6,1,114,-----+------------------------------------------------------------------------------------------------------------,深度套牢
600583,海油工程,20260213,C_New_Strategy (最高共振),7.17,-22.59%,-3.58%,1,12,115,+++++++++++-------+-----------------+------------------------------------------------------------++++++++++++------,深度套牢 | 冲高回落
600769,祥龙电业,20260213,B_Low_Position_Start (低风险埋伏),12.86,18.43%,24.06%,1,6,115,+++++-+++-+++++++++----++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-+++++++,正常
003018,金富科技,20260213,E_Leader_Restart (二次启动),23.54,62.70%,96.12%,2,1,115,-++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
603058,永吉股份,20260213,E_Leader_Restart (二次启动),13.2,-21.97%,-18.64%,3,1,115,--+----++-+++------------------------------------------------------------------------------------------------------,深度套牢
600028,中国石化,20260303,C_New_Strategy (最高共振),7.11,-28.27%,-24.72%,1,2,105,+--------------------------------------------------------------------------------------------------------,深度套牢
002350,北京科锐,20260303,E_Leader_Restart (二次启动),11.89,40.29%,24.66%,1,从未,109,+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
000993,闽东电力,20260303,E_Leader_Restart (二次启动),14.0,-26.50%,-11.04%,1,10,105,+++++++++-+++-++++++++------------------------+---+-----+++++++------------------------------------------,深度套牢 | 冲高回落
000819,岳阳兴长,20260303,D_Strong_Breakout (高风险追涨/优化),17.48,-31.01%,-18.78%,从未,1,105,---------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
600156,华升股份,20260423,E_Leader_Restart (二次启动),10.11,-22.85%,-5.92%,3,1,69,--+++++++++++++++++++++++--------------------------------------------,深度套牢 | 冲高回落
603335,迪生力,20260423,E_Leader_Restart (二次启动),7.07,-2.40%,1.69%,3,1,73,--++--++++++++++-+--++++++---+++++++++++++++++++++++---------------------,冲高回落
002729,好利科技,20260519,E_Leader_Restart (二次启动),21.07,-34.98%,-21.64%,1,2,51,+--------------------------------------------------,深度套牢
603677,奇精机械,20260519,E_Leader_Restart (二次启动),17.17,-19.04%,-16.57%,2,1,58,-+++++--+-+-----------------------------------------------,深度套牢 | 冲高回落
002510,天汽模,20260112,E_Leader_Restart (二次启动),7.79,-26.70%,-13.34%,2,1,135,-+-++++++----------++++++--++++++-+----------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
002023,海特高新,20260112,E_Leader_Restart (二次启动),14.85,-29.23%,-20.64%,从未,1,139,-------------------------------------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
600830,香溢融通,20260112,D_Strong_Breakout (高风险追涨/优化),9.88,-17.81%,-9.57%,8,1,139,-------++----------+-------+----------------------------------------+++++++++++++----------------------------------------------------------,深度套牢 | 冲高回落
600667,太极实业,20260117,C_New_Strategy (最高共振),9.3,84.41%,50.36%,1,14,130,+++++++++++++-++++++++++++++++++++++++++++++-----+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
603058,永吉股份,20260117,C_New_Strategy (最高共振),10.56,-2.46%,3.00%,1,64,134,+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++--++++++++++++-+-------------------------------------------------------,冲高回落
600744,华银电力,20260117,C_New_Strategy (最高共振),6.63,16.59%,19.64%,1,7,135,++++++----------------++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++---------------++++++++++++++++++,正常
603618,杭电股份,20260117,A_Strong_Pullback (中风险接力),8.51,217.51%,235.44%,1,9,135,++++++-+-+++++++++++++++++++++++++++++-++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
002112,三变科技,20260117,E_Leader_Restart (二次启动),19.97,-11.37%,-4.16%,1,10,135,+++++++++-+++++++++++++++++++++++++++++++++++++++++++++++++++++-++++++++++++++---------------------------------------------------------,深度套牢 | 冲高回落
002114,罗平锌电,20260117,E_Leader_Restart (二次启动),9.73,-21.27%,-13.15%,1,11,135,++++++++++-----------+++++++++++----------------------------------------+--------------------------------------------------------------,深度套牢 | 冲高回落
603023,威帝股份,20260117,E_Leader_Restart (二次启动),5.92,-32.60%,-23.31%,3,1,135,--+++++--------------------------------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
002845,同兴达,20260117,D_Strong_Breakout (高风险追涨/优化),15.41,-19.40%,-4.75%,5,1,130,----+----------------++---++++++++-----------------------------------------++++++++-+--++-+----++++++++-++++---++++---------------,深度套牢 | 冲高回落
600058,五矿发展,20260128,E_Leader_Restart (二次启动),14.93,-24.31%,-25.52%,从未,1,127,-------------------------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
002890,弘宇股份,20260128,E_Leader_Restart (二次启动),16.42,-11.14%,-10.72%,1,17,127,++++++++++++++++-------+---------------+---++---+------+++++++++++++++-+-------------------------------------------------------,深度套牢 | 冲高回落
603926,铁流股份,20260128,E_Leader_Restart (二次启动),25.44,-37.03%,-25.17%,2,1,127,-+++++-------------------------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
002185,华天科技,20260128,E_Leader_Restart (二次启动),14.66,23.19%,9.54%,1,3,127,++-+---------++++-------------+-------------------------------+----++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
600770,综艺股份,20260128,E_Leader_Restart (二次启动),6.62,-20.69%,-6.48%,1,3,127,++-++++++++----+--------------+-----------------------++++++++++++++++-++----------------------++++-----+----------------------,深度套牢 | 冲高回落
601117,中国化学,20260128,E_Leader_Restart (二次启动),8.82,-11.56%,-6.16%,1,3,127,++-----------+++++++++++++++++---++++-++-++++++--------------------------------------------------------------------------------,深度套牢 | 冲高回落
000990,诚志股份,20260128,E_Leader_Restart (二次启动),8.96,-22.77%,5.69%,1,3,127,++-------------------+--++++++-++++++++++++++++++++++++++++++++++++++++++++++++++++---+++-----------------+++++++-+---+--------,深度套牢 | 冲高回落
002815,崇达技术,20260128,E_Leader_Restart (二次启动),16.08,-19.96%,-6.09%,15,1,127,--------------+-----------+-+---------------------------------++++-----+++++++++++++++++++++++++-++--+--++++-------------------,深度套牢 | 冲高回落
600230,沧州大化,20260128,E_Leader_Restart (二次启动),18.89,-15.67%,-8.13%,1,30,127,+++++++++++++++++++++++++++++-------+-++-++++++++++++++++++--------------------------------------------------------------------,深度套牢 | 冲高回落
600552,凯盛科技,20260128,E_Leader_Restart (二次启动),15.65,2.30%,9.45%,53,1,123,----------------------------------------------------+--+---++++++++++++++++++++++++++++++++++++++++++++++++++++-+++-+++---+,正常
000159,国际实业,20260128,E_Leader_Restart (二次启动),7.11,-18.14%,-10.89%,16,1,123,---------------+++++++----------------------------------------------+------------------------------------------------------,深度套牢 | 冲高回落
605366,宏柏新材,20260128,E_Leader_Restart (二次启动),7.06,17.42%,48.68%,5,1,127,----+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-+++++--++++++,正常
600173,卧龙新能,20260128,E_Leader_Restart (二次启动),8.41,-25.09%,-7.53%,1,2,127,+----++++++-++-----------------------------------------------------------------------------------------------++++++++++++------,深度套牢 | 冲高回落
603078,江化微,20260128,E_Leader_Restart (二次启动),29.03,24.91%,8.09%,67,1,127,------------------------------------------------------------------+++++++++++++++++++++++++++++++++++++++++++++++++++++----++++,正常
002165,红 宝 丽,20260128,E_Leader_Restart (二次启动),10.21,-31.73%,-13.57%,1,31,127,++++++++++++++++++++++++++++++---+---------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
603065,宿迁联盛,20260301,C_New_Strategy (最高共振),9.65,83.94%,21.21%,15,1,111,--------------+----------------------------------------------------++++++++++++++++++++++++++++++++++++++++++++,正常
600470,六国化工,20260301,E_Leader_Restart (二次启动),7.94,-27.33%,-18.71%,1,2,111,+---+++++++++--------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
002828,贝肯能源,20260301,E_Leader_Restart (二次启动),13.8,-6.74%,-14.89%,1,7,106,++++++-+++++-------------+--------------------------------------------------------------------------------,冲高回落
000554,泰山石油,20260301,E_Leader_Restart (二次启动),8.83,-25.71%,-15.59%,1,15,111,++++++++++++++-------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
603315,福鞍股份,20260301,E_Leader_Restart (二次启动),17.7,-32.26%,-15.48%,34,1,111,---------------------------------+--++++----+++++++++----------------------------------------------------------,深度套牢 | 冲高回落
601390,中国中铁,20260301,E_Leader_Restart (二次启动),6.19,-26.98%,-20.15%,1,2,111,+--------------------------------------------------------------------------------------------------------------,深度套牢
000968,蓝焰控股,20260301,E_Leader_Restart (二次启动),8.55,-15.44%,-4.34%,1,45,111,++++++++++++++++++++++++++++++++++++++++++++-------+-----------------------------------------------------------,深度套牢 | 冲高回落
600409,三友化工,20260301,E_Leader_Restart (二次启动),8.8,-21.25%,-21.40%,8,1,111,-------++------------------------------------------------------------------------------------------------------,深度套牢
601390,中国中铁,20260127,C_New_Strategy (最高共振),5.8,-22.07%,-12.99%,2,3,128,-+-----------+++++++++-++++-----------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
603078,江化微,20260127,E_Leader_Restart (二次启动),29.4,23.33%,6.61%,68,1,128,-------------------------------------------------------------------+++++++++++++++++++++++++++++++++++++++++++++++++++++----++++,正常
000670,盈方微,20260127,E_Leader_Restart (二次启动),9.91,-30.17%,-19.51%,75,1,128,--------------------------------------------------------------------------+---------+-------------------------------------------,深度套牢
002658,雪迪龙,20260127,E_Leader_Restart (二次启动),10.44,-29.98%,-16.07%,9,1,124,--------++---++++++++++++---------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
603138,海量数据,20260127,E_Leader_Restart (二次启动),17.83,-24.68%,-1.90%,1,2,128,+------++++++++++++++++++++++++-+++++++++++++++++++++++++++++++++++++++-+-------++----------------------------------------------,深度套牢 | 冲高回落
603883,老百姓,20260127,D_Strong_Breakout (高风险追涨/优化),16.44,-22.51%,-20.19%,从未,1,128,--------------------------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
002871,伟隆股份,20251219,A_Strong_Pullback (中风险接力),15.74,1.78%,21.49%,1,138,149,+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-+---++----+,正常
603057,紫燕食品,20251219,B_Low_Position_Start (低风险埋伏),18.97,21.40%,36.48%,1,40,136,+++++++++++++++++++++++++++++++++++++++-++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
000546,金圆股份,20251219,E_Leader_Restart (二次启动),6.8,-33.82%,-12.50%,1,6,149,+++++--------++-------+-----------------+---------------------+-----------++----+++++++++++++--------------------------------------------------------,深度套牢 | 冲高回落
002115,三维通信,20260430,E_Leader_Restart (二次启动),14.0,-25.50%,-15.18%,1,10,76,+++++++++-------------------------------------------------------------------,深度套牢 | 冲高回落
003036,泰坦股份,20260430,E_Leader_Restart (二次启动),33.83,63.76%,95.40%,1,从未,68,++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
603012,创力集团,20260515,C_New_Strategy (最高共振),9.55,-14.87%,-11.81%,5,1,60,----+++++---------------------------------------------------,深度套牢 | 冲高回落
603758,秦安股份,20260515,B_Low_Position_Start (低风险埋伏),13.44,-14.21%,-25.41%,从未,1,60,------------------------------------------------------------,长期未回正 | 深度套牢
000048,京基智农,20260613,E_Leader_Restart (二次启动),18.91,15.65%,7.81%,2,1,40,-++-+++++++++++++++++++--++--------+++++,正常
600579,中化装备,20260622,E_Leader_Restart (二次启动),7.37,-0.54%,0.19%,1,2,35,+-++++++++++++++-------------------,冲高回落
600579,中化装备,20260619,E_Leader_Restart (二次启动),7.37,-0.54%,0.21%,1,3,36,++-++++++++++++++-------------------,冲高回落
000700,模塑科技,20251226,A_Strong_Pullback (中风险接力),11.25,-4.44%,18.86%,1,53,156,++++++++++++++++++++++++++++++++++++++++++++++++++++-+++++++++-+++-+++++++--+-++++++++++++++++++++++++++++++++++++++++++++++++++++++-+----------++++++++++--,冲高回落
000948,南天信息,20251226,B_Low_Position_Start (低风险埋伏),17.56,-13.38%,-13.36%,1,19,148,++++++++++++++++++----------------------------------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
600106,重庆路桥,20251226,B_Low_Position_Start (低风险埋伏),6.5,-29.85%,-14.14%,12,1,147,-----------+++++++---------------------------------------------------------------------------------------------------------------------------------,深度套牢
002383,合众思壮,20251226,E_Leader_Restart (二次启动),11.74,-39.52%,-19.71%,1,15,148,++++++++++++++---+-------------------++++++++-------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
