代码,信号日期,信号价格,当前价格,当前收益%,最高收益%,是否获利,持有天数,触发条件
603879,2026-04-30,5.9,5.95,0.85,0.85,1,1,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600172,2026-04-30,8.43,8.77,4.03,4.03,1,1,趋势: 高于MA20
002871,2026-04-30,18.44,20.28,9.98,9.98,1,1,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603095,2026-04-30,25.37,24.18,-4.69,-4.69,0,1,形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600192,2026-04-30,8.26,8.42,1.94,1.94,1,1,动量: 突破转强 (阳线上穿5/10)
600148,2026-04-30,19.13,19.17,0.21,0.21,1,1,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
000593,2026-04-30,25.3,27.0,6.72,6.72,1,1,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20
601898,2026-04-30,18.72,18.55,-0.91,-0.91,0,1,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
601058,2026-04-30,13.92,13.78,-1.01,-1.01,0,1,趋势: 高于MA20
600577,2026-04-30,13.03,13.3,2.07,2.07,1,1,量能: 放量 (1.54X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603778,2026-04-30,26.6,27.91,4.92,4.92,1,1,形态: 10日内有涨停
603429,2026-04-30,10.3,9.95,-3.4,-3.4,0,1,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603182,2026-04-30,15.05,14.98,-0.47,-0.47,0,1,动量: 突破转强 (阳线上穿5/10)
002849,2026-04-30,17.3,17.2,-0.58,-0.58,0,1,"形态: 两连阴 (-1.26%, -0.29%)"
600379,2026-04-30,16.78,18.46,10.01,10.01,1,1,形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002347,2026-04-30,8.13,8.23,1.23,1.23,1,1,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603687,2026-04-30,17.18,17.58,2.33,2.33,1,1,形态: 10日内有涨停
603089,2026-04-30,11.59,11.57,-0.17,-0.17,0,1,"形态: 两连阴 (-2.12%, -3.41%)"
603158,2026-04-30,12.76,14.04,10.03,10.03,1,1,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-1.12%, -2.49%)"
603903,2026-04-30,12.24,12.4,1.31,1.31,1,1,形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
000837,2026-04-30,11.11,11.15,0.36,0.36,1,1,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002596,2026-04-30,3.76,3.83,1.86,1.86,1,1,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002564,2026-04-30,6.17,6.22,0.81,0.81,1,1,趋势: 高于MA20
600579,2026-04-30,7.84,7.66,-2.3,-2.3,0,1,"形态: 两连阴 (-1.37%, -1.26%)"
601398,2026-04-30,7.45,7.36,-1.21,-1.21,0,1,趋势: 多头排列 (5>20>60)
002514,2026-04-30,3.4,3.23,-5.0,-5.0,0,1,"形态: 两连阴 (-10.00%, -10.05%)"
600773,2026-04-30,27.2,27.49,1.07,1.07,1,1,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20
603599,2026-04-30,14.85,14.13,-4.85,-4.85,0,1,形态: 10日内有涨停 | 趋势: 高于MA20
001338,2026-04-30,13.27,13.45,1.36,1.36,1,1,量能: 放量 (1.52X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600353,2026-04-30,17.23,17.77,3.13,3.13,1,1,趋势: 高于MA20
002284,2026-04-30,13.29,13.07,-1.66,-1.66,0,1,"量能: 放量 (1.77X) | 形态: 两连阴 (-4.85%, -0.83%)"
600877,2026-04-30,16.45,17.4,5.78,5.78,1,1,"形态: 两连阴 (-2.91%, -3.30%)"
603002,2026-04-30,13.82,13.93,0.8,0.8,1,1,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-2.64%, -2.78%) | 趋势: 高于MA20"
002559,2026-04-30,10.32,10.58,2.52,2.52,1,1,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20
002752,2026-04-30,7.4,7.55,2.03,2.03,1,1,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20
603112,2026-04-30,20.75,22.31,7.52,7.52,1,1,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20
603685,2026-04-30,32.82,31.87,-2.89,-2.89,0,1,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20
605377,2026-04-30,9.83,9.8,-0.31,-0.31,0,1,量能: 放量 (1.84X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600336,2026-04-30,7.55,7.72,2.25,2.25,1,1,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
000026,2026-04-30,18.13,17.85,-1.54,-1.54,0,1,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002969,2026-04-30,22.6,23.1,2.21,2.21,1,1,形态: 10日内有涨停
600676,2026-04-30,8.18,7.95,-2.81,-2.81,0,1,趋势: 高于MA20
002757,2026-04-30,23.16,25.31,9.28,9.28,1,1,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002494,2026-04-30,6.21,6.28,1.13,1.13,1,1,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002203,2026-04-30,17.99,19.79,10.01,10.01,1,1,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20
002264,2026-04-30,8.35,8.47,1.44,1.44,1,1,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603823,2026-04-30,16.7,17.1,2.4,2.4,1,1,"量能: 放量 (1.77X) | 形态: 两连阴 (-0.06%, -1.66%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)"
002324,2026-04-30,14.63,15.17,3.69,3.69,1,1,形态: 10日内有涨停
002085,2026-04-30,13.63,13.87,1.76,1.76,1,1,"形态: 两连阴 (-2.06%, -0.51%)"
002066,2026-04-30,23.33,22.56,-3.3,-3.3,0,1,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002258,2026-04-30,12.9,12.64,-2.02,-2.02,0,1,"形态: 两连阴 (-0.54%, -0.31%)"
601366,2026-04-30,4.04,4.03,-0.25,-0.25,0,1,趋势: 高于MA20
002454,2026-04-30,9.91,9.66,-2.52,-2.52,0,1,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.86%, -0.86%)"
600446,2026-04-30,13.68,13.83,1.1,1.1,1,1,形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002358,2026-04-30,7.41,7.59,2.43,2.43,1,1,趋势: 高于MA20
603221,2026-04-30,12.55,12.58,0.24,0.24,1,1,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002418,2026-04-30,5.64,6.2,9.93,9.93,1,1,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停
