Code,Name,Latest_Date,Latest_Close,Daily_Change_Pct,Matched_Conditions,MA20,MA60,Volume_Ratio
600372,中航机载,2026-04-24,12.9,-1.75%,"形态: 两连阴 (-0.15%, -0.68%)",13.07,14.44,0.87X
603165,荣晟环保,2026-04-24,16.71,-2.79%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,15.86,14.89,0.82X
600128,苏豪弘业,2026-04-24,10.56,0.57%,动量: 突破转强 (阳线上穿5/10),10.65,11.18,1.07X
002631,德尔未来,2026-04-24,7.23,-0.41%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,7.07,6.56,0.80X
002731,萃华珠宝,2026-04-24,5.34,-4.98%,"形态: 两连阴 (-4.98%, -5.07%)",6.95,8.83,0.11X
000016,深康佳Ａ,2026-04-24,3.19,-0.93%,"形态: 两连阴 (-0.59%, -5.01%)",3.24,3.66,0.58X
600588,用友网络,2026-04-24,12.37,1.31%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),12.04,13.32,1.19X
603569,长久物流,2026-04-24,6.44,1.10%,"形态: 两连阴 (-1.17%, -5.91%)",6.80,7.16,1.40X
601777,千里科技,2026-04-24,10.72,-1.11%,趋势: 高于MA20,10.17,10.44,1.27X
601882,海天精工,2026-04-24,19.1,-1.65%,趋势: 高于MA20,18.99,20.15,1.05X
000155,川能动力,2026-04-24,17.65,5.50%,趋势: 多头排列 (5>20>60) | 量能: 放量 (1.54X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),16.69,14.69,1.54X
605228,神通科技,2026-04-24,14.59,-1.29%,趋势: 多头排列 (5>20>60),14.60,14.17,0.77X
600475,华光环能,2026-04-24,17.52,-1.07%,趋势: 高于MA20,17.46,19.58,1.10X
600969,郴电国际,2026-04-24,10.1,-0.39%,趋势: 高于MA20,9.88,10.50,0.96X
605050,福然德,2026-04-24,12.8,0.08%,"形态: 两连阴 (-0.69%, -1.39%)",13.24,13.34,0.79X
002676,顺威股份,2026-04-24,6.77,1.20%,"形态: 两连阴 (-0.73%, -1.47%)",6.84,7.38,1.45X
000520,凤凰航运,2026-04-24,3.89,-0.51%,"形态: 两连阴 (-0.75%, -1.51%)",4.07,4.34,0.85X
002462,嘉事堂,2026-04-24,13.85,-0.65%,"形态: 两连阴 (-0.99%, -0.57%)",14.37,14.87,0.93X
600185,珠免集团,2026-04-24,5.92,1.02%,"形态: 两连阴 (-1.01%, -0.17%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",5.79,6.46,0.83X
601919,中远海控,2026-04-24,14.4,-0.35%,"形态: 两连阴 (-1.09%, -0.07%)",14.96,15.07,1.02X
000955,欣龙控股,2026-04-24,5.04,1.00%,"形态: 两连阴 (-1.95%, -0.60%) | 趋势: 高于MA20",4.98,5.32,0.88X
603928,兴业股份,2026-04-24,15.61,-0.89%,趋势: 高于MA20,14.92,15.46,0.90X
002668,TCL智家,2026-04-24,9.73,-0.51%,"形态: 两连阴 (-0.20%, -1.01%) | 趋势: 高于MA20",9.26,9.57,0.60X
603982,泉峰汽车,2026-04-24,7.8,1.69%,"形态: 两连阴 (-0.51%, -1.67%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",7.75,8.20,0.94X
600638,新黄浦,2026-04-24,6.24,-3.70%,趋势: 高于MA20,6.03,6.57,0.87X
002302,西部建设,2026-04-24,5.63,1.08%,"形态: 两连阴 (-0.71%, -0.54%) | 动量: 突破转强 (阳线上穿5/10)",5.74,6.06,0.92X
002702,海欣食品,2026-04-24,5.59,0.90%,"形态: 两连阴 (-1.42%, -0.54%)",5.63,6.13,1.04X
000803,山高环能,2026-04-24,8.19,4.60%,动量: 突破转强 (阳线上穿5/10),8.35,9.01,0.82X
603990,麦迪科技,2026-04-24,15.42,3.98%,"量能: 放量 (1.67X) | 形态: 两连阴 (-0.73%, -1.20%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",15.18,15.02,1.67X
600783,鲁信创投,2026-04-24,22.64,4.43%,量能: 放量 (2.38X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),20.98,22.24,2.38X
600679,上海凤凰,2026-04-24,11.2,1.08%,"形态: 两连阴 (-1.59%, -0.54%)",11.61,12.26,1.12X
002068,黑猫股份,2026-04-24,8.65,1.41%,"形态: 两连阴 (-0.34%, -1.84%) | 趋势: 高于MA20",8.65,9.10,0.97X
000890,法尔胜,2026-04-24,16.24,-3.10%,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20,14.68,10.40,1.07X
601608,中信重工,2026-04-24,6.07,-1.78%,"形态: 两连阴 (-0.48%, -0.96%)",6.20,6.91,1.07X
002952,亚世光电,2026-04-24,26.98,1.31%,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),25.53,24.62,1.03X
603628,清源股份,2026-04-24,13.19,-1.86%,"形态: 两连阴 (-0.58%, -1.18%)",13.83,14.38,0.84X
002188,中天服务,2026-04-24,6.35,0.47%,"形态: 两连阴 (-2.44%, -1.40%)",6.47,6.78,1.06X
600188,兖矿能源,2026-04-24,20.68,0.24%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),19.55,18.40,0.95X
000590,启迪药业,2026-04-24,11.03,2.41%,"形态: 两连阴 (-1.44%, -1.73%)",11.46,11.75,1.17X
601677,明泰铝业,2026-04-24,18.23,1.00%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),16.77,16.44,0.72X
002012,凯恩股份,2026-04-24,6.99,-1.27%,趋势: 高于MA20,6.81,6.86,0.90X
600884,杉杉股份,2026-04-24,15.12,1.07%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),14.28,14.08,0.84X
002973,侨银股份,2026-04-24,12.9,2.06%,"形态: 两连阴 (-1.64%, -4.31%)",12.96,13.87,1.41X
605007,五洲特纸,2026-04-24,15.51,-3.36%,趋势: 高于MA20,14.29,14.76,0.75X
000582,北部湾港,2026-04-24,10.88,-0.73%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,10.73,10.60,0.84X
002644,佛慈制药,2026-04-24,8.09,-1.22%,"形态: 两连阴 (-1.20%, -0.85%)",8.62,8.85,1.05X
603777,来伊份,2026-04-24,15.1,-1.44%,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-1.16%, -5.26%)",15.16,13.87,0.79X
