Code,Name,Latest_Date,Latest_Close,Matched_Conditions,MA5,MA20,MA60,Volume_Ratio
603587,地素时尚,2025-11-28,13.18,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",13.17,13.06,12.82,0.47X
600855,航天长峰,2025-11-28,17.19,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",16.76,15.69,14.81,1.06X
600229,城市传媒,2025-11-28,7.04,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | 放量上涨 (1.67X)",7.03,6.96,6.78,1.67X
603871,嘉友国际,2025-11-28,13.71,"价格强势 (高于MA5,MA20,MA60)",13.47,13.71,13.41,0.36X
605056,咸亨国际,2025-11-28,19.0,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",18.49,17.99,16.19,1.03X
601890,亚星锚链,2025-11-28,10.56,多头排列 (MA5>MA20>MA60),10.82,10.51,10.05,0.59X
601599,浙文影业,2025-11-28,3.89,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",3.86,3.83,3.72,0.76X
600685,中船防务,2025-11-28,29.86,多头排列 (MA5>MA20>MA60),31.16,28.30,27.40,0.63X
002348,高乐股份,2025-11-24,4.81,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",4.66,4.62,4.17,1.12X
600802,福建水泥,2025-11-28,7.49,"价格强势 (高于MA5,MA20,MA60)",6.96,7.36,6.27,0.87X
600222,太龙药业,2025-11-28,8.04,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | 放量上涨 (1.63X)",7.62,7.30,6.83,1.63X
600783,鲁信创投,2025-11-28,14.77,"价格强势 (高于MA5,MA20,MA60)",14.41,14.76,13.94,0.81X
002369,卓翼科技,2025-11-27,10.05,"价格强势 (高于MA5,MA20,MA60)",10.04,9.21,9.45,0.87X
603903,中持股份,2025-11-28,17.19,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",16.28,15.22,13.53,0.86X
600601,方正科技,2025-11-28,11.99,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",11.67,11.61,10.95,1.04X
